num_sentences,avg_length_sentences,num_nouns,num_verbs,num_conjunctions,num_adjectives,num_adverbs,grade
40,77,130,167,57,33,38,4
30,130,139,166,32,45,78,4
40,108,158,171,33,58,71,3
23,142,117,155,9,31,56,2
28,99,121,171,30,44,69,2
56,57,118,139,6,24,42,4
84,47,129,172,32,44,68,4
19,75,56,53,19,24,34,3
47,83,139,145,33,67,61,4
35,78,99,84,19,37,64,4
19,114,103,80,16,23,23,3
33,122,152,161,6,57,75,5
17,222,157,184,26,64,79,3
31,92,97,126,18,41,56,3
46,86,112,146,31,59,71,5
11,65,28,32,5,11,8,2
37,97,108,151,28,61,61,4
31,84,79,109,18,40,62,4
56,62,132,145,45,47,64,3
30,48,60,62,13,26,19,3
28,109,112,126,31,30,59,4
38,110,164,170,30,38,65,4
30,79,95,104,4,41,46,3
35,115,96,189,42,57,99,3
23,79,58,75,8,22,29,4
39,85,110,155,39,43,59,3
42,71,87,142,22,34,48,4
41,100,130,198,27,55,58,3
14,84,39,48,9,18,19,3
20,183,128,144,46,58,63,4
37,94,93,161,33,45,60,3
61,67,90,227,28,38,79,5
59,61,114,148,33,51,68,5
53,78,143,169,11,53,48,3
60,71,138,190,36,58,68,4
21,109,91,96,15,37,47,3
52,76,146,179,34,47,64,3
8,177,50,61,23,18,31,3
48,89,146,179,35,43,49,4
55,77,131,160,44,66,77,5
61,53,107,161,21,30,63,4
51,82,145,176,4,31,82,4
81,53,141,178,13,64,81,4
32,71,74,89,14,24,51,5
28,64,48,86,8,23,38,3
25,93,93,101,17,21,36,3
45,50,76,97,18,20,39,3
31,79,71,128,27,21,51,4
13,120,54,67,15,11,31,3
31,102,91,154,24,44,57,3
37,64,80,106,2,41,35,4
28,105,115,122,25,38,53,4
34,93,113,131,28,57,50,4
47,77,132,150,30,49,52,2
44,66,114,116,18,39,27,4
39,78,102,138,24,48,53,3
30,81,97,94,20,38,38,5
28,67,60,79,10,35,35,4
32,89,93,128,32,50,46,4
23,74,67,68,11,21,23,4
30,47,69,54,12,14,13,3
57,70,146,176,41,43,63,4
33,98,100,137,20,50,70,4
38,78,81,146,21,37,59,3
71,57,158,183,34,58,55,4
14,88,41,44,14,15,28,3
54,49,74,122,17,30,31,4
30,133,110,190,40,30,97,3
19,106,70,88,12,37,33,4
19,110,82,95,15,23,34,4
42,101,106,193,52,68,111,4
34,85,103,121,31,43,43,4
32,65,76,102,16,11,32,4
46,63,94,131,38,28,67,3
58,69,150,193,13,57,76,4
67,61,119,180,24,49,76,4
25,96,80,104,19,35,32,4
76,55,170,176,30,51,66,3
33,121,147,159,43,53,79,3
19,62,35,61,11,10,27,3
24,176,167,166,37,48,47,3
19,84,59,85,18,26,28,3
62,71,192,151,22,64,42,6
47,80,120,161,34,46,94,5
43,98,162,163,36,52,56,4
48,63,125,108,12,43,48,4
32,77,76,95,22,36,52,3
81,42,133,135,25,41,60,6
48,59,105,135,1,36,56,5
13,89,57,53,14,12,10,3
44,71,116,108,23,54,46,5
38,78,101,117,34,30,59,4
10,138,36,67,13,11,29,3
43,87,134,179,39,45,73,4
47,68,93,153,26,28,60,4
35,91,114,115,44,33,58,4
32,82,77,103,31,41,47,4
20,68,59,54,5,11,26,3
3,258,34,38,13,6,16,2
23,70,64,65,15,11,28,4
35,91,113,131,30,42,56,3
41,105,154,184,42,56,61,5
46,88,125,176,40,45,98,3
37,77,86,130,29,54,52,4
36,74,82,123,27,39,43,3
48,87,134,187,39,59,84,3
31,136,101,170,47,79,80,5
15,79,54,45,7,19,11,4
30,71,53,94,11,27,43,3
36,76,99,112,27,37,38,4
25,99,82,121,24,34,37,3
25,76,76,64,13,30,24,4
33,81,104,112,14,31,31,4
58,70,124,205,33,32,86,4
27,101,80,111,18,44,47,4
33,77,86,111,17,34,36,4
60,67,137,170,18,45,62,4
35,70,81,108,26,31,43,4
54,73,144,195,37,29,70,4
57,65,121,162,28,40,83,4
68,55,121,188,29,34,69,4
19,79,42,68,6,25,22,3
5,66,17,12,3,6,8,2
46,65,126,139,21,19,34,4
11,235,98,108,27,57,47,3
33,107,136,139,44,66,28,3
37,81,105,120,28,44,46,4
22,154,73,176,26,53,66,3
